StudNr;A1;A2;A3;A4;A5;A6;A7;A8;A9;Version
1;3.5;4;3.5;4;4;4;4;4;4;A
2;2.5;3.5;4;3;2;4;3;1;1.5;B
3;1.5;4;3;2.5;3;4;1.5;3;2;A
4;1.5;3.5;1.5;4;3;0;1;3.5;0;A
5;3.5;3;3.5;3;3.5;2;3.5;2.5;2;A
6;2.5;4;4;1.5;1;3;3;3.5;1.5;B
7;4;3.5;3.5;4;3;4;3.5;3;3.5;A
8;1;2;0;0;0;0;0;0;0;B
9;2.5;2;2;3;1;4;1.5;3.5;0;B
10;4;3.5;4;3.5;1;3;3.5;4;3;B
11;0;0;0;0;0;0.5;0;0;0;B
12;3;3;4;2.5;3.5;3;3.5;4;2;B
13;3;1.5;3;0;3.5;0;0.5;0;0;A
14;3;4;4;3.5;4;4;3;3.5;0;B
15;3.5;1.5;3;4;1;4;4;3.5;2;B
16;1;3.5;2.5;3;2;2;3.5;2;0;A
17;2.5;3.5;1.5;4;3;1;4;4;2;A
18;1;3.5;2;3.5;3;0.5;1;3;0.5;A
19;1.5;3.5;2;4;3;3.5;3.5;3;0;A
20;1;3.5;2.5;0;3;0.5;3.5;0;0;A
21;2.5;3.5;3.5;1;0.5;3.5;1;1;0;B
22;1.5;1;0;1;0;1;0;0;0;B
23;2.5;1.5;2.5;2;2;3.5;3;3;0;B
24;4;1;3.5;3.5;2;3.5;3.5;4;3;B
25;3.5;3.5;0.5;4;4;2;3;2;0;A
26;2;0.5;1;1.5;0;1;0;1.5;0.5;B
27;2.5;1.5;1;1.5;1;1.5;1;3.5;0;B
28;1;0;2;0;0;0;0;0.5;0;B
29;2.5;3;1.5;3.5;0.5;3.5;3;1;2;B
30;1;2;2;1;1.5;1.5;3.5;1.5;0;A
31;3.5;2;4;1.5;2.5;4;2;1.5;0;B
32;1.5;0.5;0.5;2.5;0.5;2;0;0;0;B
33;3.5;2;3.5;1.5;3;0.5;3.5;3;0;A
34;3;4;3;4;3;3;4;2.5;3;A
35;0.5;0;0;0;0;0;0.5;0;0;B
36;2.5;0;0.5;2;0;3;1;1;1.5;B
37;3.5;3.5;4;3;1.5;2;2.5;3.5;1.5;B
38;3.5;4;3.5;4;2.5;2;3.5;4;2;A
39;3.5;3;3.5;4;3.5;3.5;4;3.5;2;A
40;2.5;1.5;2.5;2;0;2;0;2;0;B
41;3;2.5;2;3.5;3;2;1.5;1.5;1.5;A
42;4;4;4;4;3.5;4;4;4;3.5;B
43;1;3;3;3.5;2.5;1.5;4;1.5;0.5;A
44;2.5;1;0;0;0;1.5;0.5;0.5;0;B
45;3;3.5;0;0.5;1;2;0;1;0;A
46;4;3.5;4;4;3.5;2;1.5;4;1;A
47;2.5;4;4;1;2;3;3;3.5;0;B
48;3.5;3;2.5;3.5;3;2;1.5;4;2;A
49;1;1.5;3;0.5;3;1;1.5;0;1.5;A
50;1;4;1.5;2.5;2;1.5;0.5;2.5;2;A
51;1;4;2;3;3.5;0;1.5;1.5;2.5;A
52;2;3;0.5;3.5;2;0;0.5;0.5;0;A
53;3;4;3;2;0;1;4;3;2;A
54;1.5;1;0;0;0.5;1;0;1;0;B
55;3.5;4;3;3.5;2;4;3.5;3.5;2;B
56;3.5;3;4;3.5;3;2;1.5;1.5;2;A
57;1;1;0;1.5;0;2;2;1;0;B
58;3.5;3;4;4;1;2;2.5;2.5;2;B
59;1;3.5;3.5;4;3;3.5;3;3.5;3;A
60;2.5;1;1.5;1.5;0.5;3.5;2;0;0;B
61;3.5;3.5;4;4;4;1.5;4;4;3;A
62;3;2.5;1;1.5;3.5;0.5;3;0;0;A
63;3.5;3.5;4;3.5;2;4;4;3;3.5;B
64;2;4;3;3.5;3;0.5;4;3.5;4;A
65;3.5;4;4;3.5;2;3;2.5;3.5;2;B
66;3.5;4;0.5;2.5;4;4;3;3.5;0;B
67;3;1.5;1;2;0;0.5;0;0;0;B
68;3;2.5;3.5;2.5;3;2;3;3;2;A
69;4;1;4;3.5;2.5;3;3;3.5;3;B
70;3.5;3.5;0.5;4;3;1.5;1.5;3;1;A
71;4;4;3;0.5;1;1;2;1;0;A
72;1;2;0;0.5;1.5;0;4;0;0;A
73;4;3.5;4;1;3;4;4;4;3;B
74;1;2;1.5;2;0;0.5;1.5;0.5;1.5;A
75;1;2.5;2;2;2;1;1.5;0.5;1;A
76;1.5;2;2;2;0;3;0.5;1.5;0.5;B
77;1.5;4;3;2.5;3;1;1;2;0;A
78;2;3;2.5;1.5;1.5;2;1;1.5;0.5;B
79;2.5;1.5;3.5;1;0;4;2;1.5;2;B
80;3.5;3.5;3.5;3.5;1.5;3.5;3;4;3;B
81;4;1.5;3.5;2.5;4;3;4;4;0;B
82;4;4;4;3.5;2.5;4;3.5;3.5;3.5;B
83;2.5;1.5;0.5;0.5;0.5;1.5;1;0.5;0;B
84;3.5;3.5;2.5;2;2.5;0.5;0.5;2;2;A
85;3;3.5;4;0;0;3;2.5;1.5;2;B
86;1.5;1.5;4;2.5;0.5;1;2;2;0;B
87;1;2.5;4;2;3;2;0;2.5;0;A
88;2.5;1;1.5;2.5;1;2;3;1;2;B
89;3;4;1;4;4;1;4;3.5;2.5;A
90;3.5;1;4;3;1.5;3;3;3.5;0;B
91;1;3;0;0;0;0;0;0;0;B
92;2.5;1;0.5;0;1;4;0;0;0;B
93;2.5;0.5;3.5;2.5;2;2;0.5;3;0;B
94;1;3.5;3.5;4;2.5;2;2.5;2;0.5;A
95;4;3.5;2;3.5;1;4;3.5;1.5;3.5;B
96;3.5;3;3.5;4;0.5;3.5;4;4;3;B
97;3;4;2;2;3.5;4;2;4;0;B
98;0;2.5;0.5;2;1;2;0.5;1;0;A
